Unidade;Item;Datas dos Pedidos (início);Quantidades em cada pedido;Total Anual;Média por Pedido
Anil/BequimãO;BORRACHA;2026-05-12;5;5;5
Anil/BequimãO;CANETA AZUL;2026-05-12;10;10;10
Anil/BequimãO;CLIPS GRANDE;2026-04-29;1;1;1
Anil/BequimãO;CLIPS Nº 8/0;2026-05-12;2;2;2
Anil/BequimãO;COLA BRANCA;2026-05-12;1;1;1
Anil/BequimãO;COLA;2026-04-29;1;1;1
Anil/BequimãO;CORRETIVO;2026-05-06 | 2026-05-12 | 2026-05-27;2 | 2 | 2;6;2
Anil/BequimãO;EVA PRETO;2026-06-10;10;10;10
Anil/BequimãO;GRAMPOS PEQUENO;2026-04-29;1;1;1
Anil/BequimãO;MARCA-TEXTO;2026-05-12;5;5;5
Anil/BequimãO;POST-IT PEQUENO;2026-05-06 | 2026-05-12 | 2026-06-08;1 | 2 | 2;5;1.67
Anil/BequimãO;REGUA;2026-05-12 | 2026-06-17;4 | 1;5;2.5
CMAS;ENVELOPE A4;2026-05-12 | 2026-06-10;5 | 5;10;5
CMAS;FITA DUREX;2026-05-12 | 2026-06-10;1 | 1;2;1
CMAS;FITA GOMADA;2026-06-10;1;1;1
CMAS;LAPIS;2026-07-01;10;10;10
CMAS;MARCADOR DE TEXTO;2026-05-12 | 2026-06-10;3 | 2;5;2.5
CMAS;PAPEL COUCHE BRANCO PARA CERTIFICADO;2026-05-13;2;2;2
CMAS;PASTA COM ELASTICO;2026-06-10;2;2;2
CMAS;PASTA SUSPENSA;2026-06-10;3;3;3
CMAS;RESMA DE PAPEL A4;2026-05-12 | 2026-06-10 | 2026-07-01;1 | 4 | 1;6;2
CMAS;SACO DE LIXO 25L;2026-07-01;10;10;10
CMDCA;APONTADOR;2026-04-28;2;2;2
CMDCA;CAIXA CANETA AZUL;2026-05-04 | 2026-06-15;5 | 5;10;5
CMDCA;CANETA;2026-04-28;5;5;5
CMDCA;CARTOLINA;2026-06-08;1;1;1
CMDCA;CLIPS Nª 04 1 CX;2026-06-22;1;1;1
CMDCA;CLIPS Nº 06 1 CX;2026-06-22;1;1;1
CMDCA;CLIPS Nº 08 1 CX;2026-06-22 | 2026-07-03;1 | 1;2;1
CMDCA;CLIPS Nº 6/0;2026-04-28;1;1;1
