Conselho Tutelar;Item;Total Anual;Nº Pedidos;Média por Pedido;Data Pedido 1;Qtd 1;Período 1;Data Pedido 2;Qtd 2;Período 2;Data Pedido 3;Qtd 3;Período 3;Data Pedido 4;Qtd 4;Período 4;Data Pedido 5;Qtd 5;Período 5;Data Pedido 6;Qtd 6;Período 6;Data Pedido 7;Qtd 7;Período 7;Data Pedido 8;Qtd 8;Período 8;Data Pedido 9;Qtd 9;Período 9;Data Pedido 10;Qtd 10;Período 10
Anil/Bequimão;BORRACHA;5;1;5;12/05/2026;5;12/05 a 12/05/2026;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anil/Bequimão;CANETA AZUL;10;1;10;12/05/2026;10;12/05 a 12/05/2026;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anil/Bequimão;CLIPS GRANDE;1;1;1;29/04/2026;1;29/04 a 29/04/2026;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anil/Bequimão;CLIPS Nº 8/0;2;1;2;12/05/2026;2;12/05 a 12/05/2026;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anil/Bequimão;COLA;1;1;1;29/04/2026;1;29/04 a 29/04/2026;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anil/Bequimão;COLA BRANCA;1;1;1;12/05/2026;1;12/05 a 12/05/2026;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anil/Bequimão;CORRETIVO;6;3;2;06/05/2026;2;06/05 a 06/05/2026;12/05/2026;2;12/05 a 12/05/2026;27/05/2026;2;27/05 a 27/05/2026;;;;;;;;;;;;;;;;;;;;;
Anil/Bequimão;EVA PRETO;10;1;10;10/06/2026;10;10/06 a 10/06/2026;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anil/Bequimão;GRAMPOS PEQUENO;1;1;1;29/04/2026;1;29/04 a 29/04/2026;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anil/Bequimão;MARCA-TEXTO;5;1;5;12/05/2026;5;12/05 a 12/05/2026;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anil/Bequimão;POST-IT PEQUENO;5;3;1.67;06/05/2026;1;06/05 a 06/05/2026;12/05/2026;2;12/05 a 12/05/2026;08/06/2026;2;08/06 a 08/06/2026;;;;;;;;;;;;;;;;;;;;;
Anil/Bequimão;REGUA;5;2;2.5;12/05/2026;4;12/05 a 12/05/2026;17/06/2026;1;17/06 a 17/06/2026;;;;;;;;;;;;;;;;;;;;;;;;
Centro/Alemanha;CANETA AZUL;10;2;5;14/04/2026;5;14/04 a 14/04/2026;17/06/2026;5;17/06 a 17/06/2026;;;;;;;;;;;;;;;;;;;;;;;;
Centro/Alemanha;FITA GOMADA/ADESIVA;2;2;1;14/04/2026;1;14/04 a 14/04/2026;17/06/2026;1;17/06 a 17/06/2026;;;;;;;;;;;;;;;;;;;;;;;;
Centro/Alemanha;MARCADOR DE TEXTO;9;2;4.5;14/04/2026;4;14/04 a 14/04/2026;17/06/2026;5;17/06 a 17/06/2026;;;;;;;;;;;;;;;;;;;;;;;;
Centro/Alemanha;PAPEL A4;1;1;1;14/04/2026;1;14/04 a 14/04/2026;;;;;;;;;;;;;;;;;;;;;;;;;;;
Centro/Alemanha;RESMA DE PAPEL A4;1;1;1;17/06/2026;1;17/06 a 17/06/2026;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cidade Operária/Cidade Olímpica;BLOCO DE NOTAS;2;1;2;13/04/2026;2;13/04 a 13/04/2026;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cidade Operária/Cidade Olímpica;CANETA AZUL;10;2;5;12/05/2026;5;12/05 a 12/05/2026;28/05/2026;5;28/05 a 28/05/2026;;;;;;;;;;;;;;;;;;;;;;;;
Cidade Operária/Cidade Olímpica;CANETA AZUL E PRETA;8;2;4;15/06/2026;5;15/06 a 15/06/2026;24/06/2026;3;24/06 a 24/06/2026;;;;;;;;;;;;;;;;;;;;;;;;
Cidade Operária/Cidade Olímpica;CANETA PRETA;10;2;5;12/05/2026;5;12/05 a 12/05/2026;28/05/2026;5;28/05 a 28/05/2026;;;;;;;;;;;;;;;;;;;;;;;;
Cidade Operária/Cidade Olímpica;CLIPS Nº 3/0;3;3;1;30/04/2026;1;30/04 a 30/04/2026;12/05/2026;1;12/05 a 12/05/2026;15/06/2026;1;15/06 a 15/06/2026;;;;;;;;;;;;;;;;;;;;;
Cidade Operária/Cidade Olímpica;CLIPS Nº 4/0;1;1;1;28/05/2026;1;28/05 a 28/05/2026;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cidade Operária/Cidade Olímpica;CLIPS Nº 6/0;1;1;1;15/06/2026;1;15/06 a 15/06/2026;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cidade Operária/Cidade Olímpica;CLIPS Nº 8/0;4;4;1;30/04/2026;1;30/04 a 30/04/2026;12/05/2026;1;12/05 a 12/05/2026;28/05/2026;1;28/05 a 28/05/2026;15/06/2026;1;15/06 a 15/06/2026;;;;;;;;;;;;;;;;;;
Cidade Operária/Cidade Olímpica;EVA COR LARANJA;2;1;2;30/04/2026;2;30/04 a 30/04/2026;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cidade Operária/Cidade Olímpica;EVA COR ROSO;2;1;2;30/04/2026;2;30/04 a 30/04/2026;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cidade Operária/Cidade Olímpica;FITA DUREX;3;3;1;30/04/2026;1;30/04 a 30/04/2026;12/05/2026;1;12/05 a 12/05/2026;28/05/2026;1;28/05 a 28/05/2026;;;;;;;;;;;;;;;;;;;;;
Cidade Operária/Cidade Olímpica;GRAMPEADOR PEQUENO;1;1;1;15/06/2026;1;15/06 a 15/06/2026;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cidade Operária/Cidade Olímpica;GRAMPO PARA GRAMPEADOR;2;2;1;28/05/2026;1;28/05 a 28/05/2026;15/06/2026;1;15/06 a 15/06/2026;;;;;;;;;;;;;;;;;;;;;;;;
Cidade Operária/Cidade Olímpica;MARCADOR DE TEXTO VARIADO;10;3;3.33;12/05/2026;4;12/05 a 12/05/2026;28/05/2026;2;28/05 a 28/05/2026;24/06/2026;4;24/06 a 24/06/2026;;;;;;;;;;;;;;;;;;;;;
Cidade Operária/Cidade Olímpica;PAPEL CARTAO VARIADO;3;1;3;30/04/2026;3;30/04 a 30/04/2026;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cidade Operária/Cidade Olímpica;PAPEL CREPOM VARIADO;3;1;3;30/04/2026;3;30/04 a 30/04/2026;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cidade Operária/Cidade Olímpica;PASTA SANFONADA;2;1;2;13/04/2026;2;13/04 a 13/04/2026;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cidade Operária/Cidade Olímpica;POST-IT;5;4;1.25;30/04/2026;1;30/04 a 30/04/2026;12/05/2026;1;12/05 a 12/05/2026;28/05/2026;1;28/05 a 28/05/2026;24/06/2026;2;24/06 a 24/06/2026;;;;;;;;;;;;;;;;;;
Cidade Operária/Cidade Olímpica;RESMA DE PAPEL A4;6;5;1.2;30/04/2026;1;30/04 a 30/04/2026;12/05/2026;1;12/05 a 12/05/2026;28/05/2026;1;28/05 a 28/05/2026;15/06/2026;2;15/06 a 15/06/2026;24/06/2026;1;24/06 a 24/06/2026;;;;;;;;;;;;;;;
Cidade Operária/Cidade Olímpica;RESMA PAPEL A4;1;1;1;13/04/2026;1;13/04 a 13/04/2026;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cohab/Cohatrac;CANETA AZUL;18;4;4.5;23/04/2026;5;23/04 a 23/04/2026;12/05/2026;5;12/05 a 12/05/2026;26/05/2026;3;26/05 a 26/05/2026;09/06/2026;5;09/06 a 09/06/2026;;;;;;;;;;;;;;;;;;
Cohab/Cohatrac;CANETA AZUL E PRETA;5;1;5;14/04/2026;5;14/04 a 14/04/2026;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cohab/Cohatrac;CANETA PRETA;18;4;4.5;23/04/2026;5;23/04 a 23/04/2026;12/05/2026;5;12/05 a 12/05/2026;26/05/2026;3;26/05 a 26/05/2026;09/06/2026;5;09/06 a 09/06/2026;;;;;;;;;;;;;;;;;;
Cohab/Cohatrac;CHAMEX;1;1;1;14/04/2026;1;14/04 a 14/04/2026;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cohab/Cohatrac;CLIPS 04;1;1;1;14/04/2026;1;14/04 a 14/04/2026;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cohab/Cohatrac;CLIPS 08;1;1;1;14/04/2026;1;14/04 a 14/04/2026;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cohab/Cohatrac;CLIPS Nº 4/0;3;3;1;26/05/2026;1;26/05 a 26/05/2026;09/06/2026;1;09/06 a 09/06/2026;22/06/2026;1;22/06 a 22/06/2026;;;;;;;;;;;;;;;;;;;;;
Cohab/Cohatrac;CLIPS Nº 8/0;4;4;1;23/04/2026;1;23/04 a 23/04/2026;12/05/2026;1;12/05 a 12/05/2026;09/06/2026;1;09/06 a 09/06/2026;22/06/2026;1;22/06 a 22/06/2026;;;;;;;;;;;;;;;;;;
Cohab/Cohatrac;CORRETIVO;6;4;1.5;14/04/2026;1;14/04 a 14/04/2026;23/04/2026;1;23/04 a 23/04/2026;09/06/2026;2;09/06 a 09/06/2026;22/06/2026;2;22/06 a 22/06/2026;;;;;;;;;;;;;;;;;;
Cohab/Cohatrac;ESCARCELA;7;3;2.33;14/04/2026;3;14/04 a 14/04/2026;09/06/2026;2;09/06 a 09/06/2026;22/06/2026;2;22/06 a 22/06/2026;;;;;;;;;;;;;;;;;;;;;
Cohab/Cohatrac;FITA DUREX;3;3;1;23/04/2026;1;23/04 a 23/04/2026;12/05/2026;1;12/05 a 12/05/2026;22/06/2026;1;22/06 a 22/06/2026;;;;;;;;;;;;;;;;;;;;;
Cohab/Cohatrac;GRAMPEADOR;2;2;1;23/04/2026;1;23/04 a 23/04/2026;09/06/2026;1;09/06 a 09/06/2026;;;;;;;;;;;;;;;;;;;;;;;;
Cohab/Cohatrac;GRAMPO;1;1;1;09/06/2026;1;09/06 a 09/06/2026;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cohab/Cohatrac;MARCADOR DE TEXTO;7;3;2.33;14/04/2026;3;14/04 a 14/04/2026;09/06/2026;2;09/06 a 09/06/2026;22/06/2026;2;22/06 a 22/06/2026;;;;;;;;;;;;;;;;;;;;;
Cohab/Cohatrac;RESMA DE PAPEL A4;8;8;1;23/04/2026;1;23/04 a 23/04/2026;28/04/2026;1;28/04 a 28/04/2026;12/05/2026;1;12/05 a 12/05/2026;26/05/2026;1;26/05 a 26/05/2026;09/06/2026;1;09/06 a 09/06/2026;22/06/2026;1;22/06 a 22/06/2026;01/07/2026;1;01/07 a 01/07/2026;07/07/2026;1;07/07 a 07/07/2026;;;;;;
Coroadinho/João Paulo;CANETA;17;4;4.25;06/05/2026;5;06/05 a 06/05/2026;13/05/2026;5;13/05 a 13/05/2026;27/05/2026;5;27/05 a 27/05/2026;10/06/2026;2;10/06 a 10/06/2026;;;;;;;;;;;;;;;;;;
Coroadinho/João Paulo;CANETAS;5;1;5;01/01/2026;5;? (sem data);;;;;;;;;;;;;;;;;;;;;;;;;;;
