Unidade;Item;Total Anual;Nº de Pedidos;Nº de Meses com Pedido;Média por Pedido;Média Mensal;Primeiro Pedido;Último Pedido
Anil/BequimãO;BORRACHA;5;1;1;5;5;2026-05-12;2026-05-12
Anil/BequimãO;CANETA AZUL;10;1;1;10;10;2026-05-12;2026-05-12
Anil/BequimãO;CLIPS GRANDE;1;1;1;1;1;2026-04-29;2026-04-29
Anil/BequimãO;CLIPS Nº 8/0;2;1;1;2;2;2026-05-12;2026-05-12
Anil/BequimãO;COLA;1;1;1;1;1;2026-04-29;2026-04-29
Anil/BequimãO;COLA BRANCA;1;1;1;1;1;2026-05-12;2026-05-12
Anil/BequimãO;CORRETIVO;6;3;1;2;6;2026-05-06;2026-05-27
Anil/BequimãO;EVA PRETO;10;1;1;10;10;2026-06-10;2026-06-10
Anil/BequimãO;GRAMPOS PEQUENO;1;1;1;1;1;2026-04-29;2026-04-29
Anil/BequimãO;MARCA-TEXTO;5;1;1;5;5;2026-05-12;2026-05-12
Anil/BequimãO;POST-IT PEQUENO;5;3;2;1.67;2.5;2026-05-06;2026-06-08
Anil/BequimãO;REGUA;5;2;2;2.5;2.5;2026-05-12;2026-06-17
Centro/Alemanha;CANETA AZUL;10;2;2;5;5;2026-04-14;2026-06-17
Centro/Alemanha;FITA GOMADA/ADESIVA;2;2;2;1;1;2026-04-14;2026-06-17
Centro/Alemanha;MARCADOR DE TEXTO;9;2;2;4.5;4.5;2026-04-14;2026-06-17
Centro/Alemanha;PAPEL A4;1;1;1;1;1;2026-04-14;2026-04-14
Centro/Alemanha;RESMA DE PAPEL A4;1;1;1;1;1;2026-06-17;2026-06-17
Cidade OperáRia/Cidade OlíMpica;BLOCO DE NOTAS;2;1;1;2;2;2026-04-13;2026-04-13
Cidade OperáRia/Cidade OlíMpica;CANETA AZUL;10;2;1;5;10;2026-05-12;2026-05-28
Cidade OperáRia/Cidade OlíMpica;CANETA AZUL E PRETA;8;2;1;4;8;2026-06-15;2026-06-24
Cidade OperáRia/Cidade OlíMpica;CANETA PRETA;10;2;1;5;10;2026-05-12;2026-05-28
Cidade OperáRia/Cidade OlíMpica;CLIPS Nº 3/0;3;3;3;1;1;2026-04-30;2026-06-15
Cidade OperáRia/Cidade OlíMpica;CLIPS Nº 4/0;1;1;1;1;1;2026-05-28;2026-05-28
Cidade OperáRia/Cidade OlíMpica;CLIPS Nº 6/0;1;1;1;1;1;2026-06-15;2026-06-15
Cidade OperáRia/Cidade OlíMpica;CLIPS Nº 8/0;4;4;3;1;1.33;2026-04-30;2026-06-15
Cidade OperáRia/Cidade OlíMpica;EVA COR LARANJA;2;1;1;2;2;2026-04-30;2026-04-30
Cidade OperáRia/Cidade OlíMpica;EVA COR ROSO;2;1;1;2;2;2026-04-30;2026-04-30
Cidade OperáRia/Cidade OlíMpica;FITA DUREX;3;3;2;1;1.5;2026-04-30;2026-05-28
Cidade OperáRia/Cidade OlíMpica;GRAMPEADOR PEQUENO;1;1;1;1;1;2026-06-15;2026-06-15
Cidade OperáRia/Cidade OlíMpica;GRAMPO PARA GRAMPEADOR;2;2;2;1;1;2026-05-28;2026-06-15
Cidade OperáRia/Cidade OlíMpica;MARCADOR DE TEXTO VARIADO;10;3;2;3.33;5;2026-05-12;2026-06-24
Cidade OperáRia/Cidade OlíMpica;PAPEL CARTAO VARIADO;3;1;1;3;3;2026-04-30;2026-04-30
Cidade OperáRia/Cidade OlíMpica;PAPEL CREPOM VARIADO;3;1;1;3;3;2026-04-30;2026-04-30
Cidade OperáRia/Cidade OlíMpica;PASTA SANFONADA;2;1;1;2;2;2026-04-13;2026-04-13
Cidade OperáRia/Cidade OlíMpica;POST-IT;5;4;3;1.25;1.67;2026-04-30;2026-06-24
Cidade OperáRia/Cidade OlíMpica;RESMA DE PAPEL A4;6;5;3;1.2;2;2026-04-30;2026-06-24
Cidade OperáRia/Cidade OlíMpica;RESMA PAPEL A4;1;1;1;1;1;2026-04-13;2026-04-13
CMAS;ENVELOPE A4;10;2;2;5;5;2026-05-12;2026-06-10
CMAS;FITA DUREX;2;2;2;1;1;2026-05-12;2026-06-10
CMAS;FITA GOMADA;1;1;1;1;1;2026-06-10;2026-06-10
CMAS;LAPIS;10;1;1;10;10;2026-07-01;2026-07-01
CMAS;MARCADOR DE TEXTO;5;2;2;2.5;2.5;2026-05-12;2026-06-10
CMAS;PAPEL COUCHE BRANCO PARA CERTIFICADO;2;1;1;2;2;2026-05-13;2026-05-13
CMAS;PASTA COM ELASTICO;2;1;1;2;2;2026-06-10;2026-06-10
CMAS;PASTA SUSPENSA;3;1;1;3;3;2026-06-10;2026-06-10
CMAS;RESMA DE PAPEL A4;6;3;3;2;2;2026-05-12;2026-07-01
CMAS;SACO DE LIXO 25L;10;1;1;10;10;2026-07-01;2026-07-01
CMDCA;APONTADOR;2;1;1;2;2;2026-04-28;2026-04-28
CMDCA;CAIXA CANETA AZUL;10;2;2;5;5;2026-05-04;2026-06-15
CMDCA;CANETA;5;1;1;5;5;2026-04-28;2026-04-28
CMDCA;CARTOLINA;1;1;1;1;1;2026-06-08;2026-06-08
CMDCA;CLIPS Nª 04 1 CX;1;1;1;1;1;2026-06-22;2026-06-22
CMDCA;CLIPS Nº 06 1 CX;1;1;1;1;1;2026-06-22;2026-06-22
CMDCA;CLIPS Nº 08 1 CX;2;2;2;1;1;2026-06-22;2026-07-03
CMDCA;CLIPS Nº 6/0;1;1;1;1;1;2026-04-28;2026-04-28
CMDCA;CORRETIVO;2;2;1;1;2;2026-06-08;2026-06-25
CMDCA;ESCARCELA;1;1;1;1;1;2026-06-25;2026-06-25
CMDCA;FITA GOMADA;1;1;1;1;1;2026-06-08;2026-06-08
CMDCA;LAPIS;3;3;3;1;1;2026-05-25;2026-07-03
CMDCA;MARCA-TEXTO;2;2;2;1;1;2026-04-28;2026-06-01
CMDCA;POST-IT;6;6;3;1;2;2026-04-28;2026-06-22
CMDCA;RESMA DE PAPEL A4;6;6;3;1;2;2026-04-28;2026-06-22
CMDCA;TESOURA;1;1;1;1;1;2026-05-25;2026-05-25
CMDI;PINCEL ATOMICO;6;3;3;2;2;2026-04-28;2026-06-16
CMDI;RESMA DE PAPEL A4;2;2;2;1;1;2026-05-18;2026-06-16
Cohab/Cohatrac;CANETA AZUL;18;4;3;4.5;6;2026-04-23;2026-06-09
Cohab/Cohatrac;CANETA AZUL E PRETA;5;1;1;5;5;2026-04-14;2026-04-14
Cohab/Cohatrac;CANETA PRETA;18;4;3;4.5;6;2026-04-23;2026-06-09
Cohab/Cohatrac;CHAMEX;1;1;1;1;1;2026-04-14;2026-04-14
Cohab/Cohatrac;CLIPS 04;1;1;1;1;1;2026-04-14;2026-04-14
Cohab/Cohatrac;CLIPS 08;1;1;1;1;1;2026-04-14;2026-04-14
Cohab/Cohatrac;CLIPS Nº 4/0;3;3;2;1;1.5;2026-05-26;2026-06-22
Cohab/Cohatrac;CLIPS Nº 8/0;4;4;3;1;1.33;2026-04-23;2026-06-22
Cohab/Cohatrac;CORRETIVO;6;4;2;1.5;3;2026-04-14;2026-06-22
Cohab/Cohatrac;ESCARCELA;7;3;2;2.33;3.5;2026-04-14;2026-06-22
Cohab/Cohatrac;FITA DUREX;3;3;3;1;1;2026-04-23;2026-06-22
Cohab/Cohatrac;GRAMPEADOR;2;2;2;1;1;2026-04-23;2026-06-09
Cohab/Cohatrac;GRAMPO;1;1;1;1;1;2026-06-09;2026-06-09
Cohab/Cohatrac;MARCADOR DE TEXTO;7;3;2;2.33;3.5;2026-04-14;2026-06-22
Cohab/Cohatrac;RESMA DE PAPEL A4;8;8;4;1;2;2026-04-23;2026-07-07
CONSELHO TUTELAR;CLIPS Nº 2/0;1;1;1;1;1;2026-06-03;2026-06-03
CONSELHO TUTELAR;CLIPS Nº 4/0;1;1;1;1;1;2026-06-03;2026-06-03
CONSELHO TUTELAR;CLIPS Nº 8/0;1;1;1;1;1;2026-06-03;2026-06-03
CONSELHO TUTELAR;RESMA DE PAPEL A4;1;1;1;1;1;2026-06-03;2026-06-03
Coroadinho/JoãO Paulo;CANETA;17;4;2;4.25;8.5;2026-05-06;2026-06-10
Coroadinho/JoãO Paulo;CANETAS;5;1;1;5;5;2026-01-01;2026-01-01
Coroadinho/JoãO Paulo;CLIPS GRANDE;1;1;1;1;1;2026-05-27;2026-05-27
Coroadinho/JoãO Paulo;CLIPS MEDIO;2;2;2;1;1;2026-01-01;2026-05-27
Coroadinho/JoãO Paulo;CLIPS Nº 2/0;4;4;3;1;1.33;2026-05-13;2026-07-02
Coroadinho/JoãO Paulo;CLIPS Nº 4/0;2;2;2;1;1;2026-05-06;2026-06-10
Coroadinho/JoãO Paulo;CLIPS Nº 8/0;2;2;2;1;1;2026-05-13;2026-06-10
Coroadinho/JoãO Paulo;CLIPS PEQUENO;2;2;2;1;1;2026-01-01;2026-05-27
Coroadinho/JoãO Paulo;ESCARCELA DE PLASTICO FINA;6;3;2;2;3;2026-05-27;2026-06-24
Coroadinho/JoãO Paulo;ESCARCELAS DE PLASTICO FINA;3;1;1;3;3;2026-01-01;2026-01-01
